Date,Stock,Returns
2017-10-11,AMC Entertainment (AMC),-1.0489550363906701
2017-10-11,Alphabet (GOOG),0.93116281716081
2017-10-11,Amazon (AMZN),-0.24549839338915003
2017-10-11,Apple (AAPL),-0.64557232434236
2017-10-11,Bed Bath & Beyond (BBBY),-0.7996459500023799
2017-10-11,BlackBerry (BB),-0.34812848259208
2017-10-11,Clover Health (CLOV),
2017-10-11,Microsoft (MSFT),-0.22184284880386998
2017-10-11,Nokia (NOK),-1.3400322699757798
2017-10-11,Nvidia (NVDA),-1.01062294847574
2017-10-11,Tilray (TLRY),
2017-10-11,Virgin Galactic (SPCE),-0.15785116922018
2017-10-12,AMC Entertainment (AMC),-1.4134262519924299
2017-10-12,Alphabet (GOOG),0.34420104865189
2017-10-12,Amazon (AMZN),1.29984799456905
2017-10-12,Apple (AAPL),0.24843890958268
2017-10-12,Bed Bath & Beyond (BBBY),-1.7465266053781001
2017-10-12,BlackBerry (BB),0.87336579157677
2017-10-12,Clover Health (CLOV),
2017-10-12,Microsoft (MSFT),1.0855373280056
2017-10-12,Nokia (NOK),-0.50933333873046
2017-10-12,Nvidia (NVDA),1.0942389203615699
2017-10-12,Tilray (TLRY),
2017-10-12,Virgin Galactic (SPCE),0.29644005247471
2017-10-13,AMC Entertainment (AMC),0.7168486224874999
2017-10-13,Alphabet (GOOG),0.31082575538385
2017-10-13,Amazon (AMZN),-0.06644058307626
2017-10-13,Apple (AAPL),-0.05718773634301
2017-10-13,Bed Bath & Beyond (BBBY),-2.32452240869438
2017-10-13,BlackBerry (BB),1.9913379951355101
2017-10-13,Clover Health (CLOV),
2017-10-13,Microsoft (MSFT),0.75042285442405
2017-10-13,Nokia (NOK),1.36518638026168
2017-10-13,Nvidia (NVDA),0.98917794724437
2017-10-13,Tilray (TLRY),
2017-10-13,Virgin Galactic (SPCE),0.0
2017-10-16,AMC Entertainment (AMC),0.35587323883337
2017-10-16,Alphabet (GOOG),-0.33122348875123
2017-10-16,Amazon (AMZN),0.17861248540109
2017-10-16,Apple (AAPL),1.72940058609738
2017-10-16,Bed Bath & Beyond (BBBY),0.04666462314244
2017-10-16,BlackBerry (BB),-0.08488349265011
2017-10-16,Clover Health (CLOV),
2017-10-16,Microsoft (MSFT),-0.07705815573624
2017-10-16,Nokia (NOK),-0.16835401995796
2017-10-16,Nvidia (NVDA),1.56410412910656
2017-10-16,Tilray (TLRY),
2017-10-16,Virgin Galactic (SPCE),0.49261273511360004
2017-10-17,AMC Entertainment (AMC),-0.70922254442735
2017-10-17,Alphabet (GOOG),0.25484868819707
2017-10-17,Amazon (AMZN),0.18820135307886
2017-10-17,Apple (AAPL),0.5437469482421899
2017-10-17,Bed Bath & Beyond (BBBY),0.18656253349979998
2017-10-17,BlackBerry (BB),-2.8887012690268903
2017-10-17,Clover Health (CLOV),
